Price,Year,Age
388.0,1940,65
450.0,1957,48
386.0,1955,50
350.0,1956,49
155.5,1994,11
220.0,1940,65
239.5,1958,47
207.0,1961,44
269.9,1965,40
238.8,1968,37
359.9,1970,35
249.7,1965,40
265.0,1979,26
349.0,1997,8
319.0,1925,80
339.0,1972,33
283.0,1971,34
275.0,1975,30
299.9,1976,29
277.0,1948,57
299.0,2005,0
185.0,1953,52
232.0,1950,55
214.9,1966,39
195.0,1966,39
256.0,1961,44
269.7,1969,36
330.0,1950,55
249.9,1960,45
279.9,1969,36
325.0,1974,31
259.9,1937,68
324.5,2000,5
359.9,1980,25
252.5,1920,85
269.0,1947,58
235.0,1948,57
256.5,1966,39
319.9,2004,1
355.0,2003,2
285.0,1975,30
242.0,1949,56
197.0,1964,41
281.8,2005,0
259.0,1969,36
189.5,1975,30
339.9,1993,12
297.0,1995,10
295.0,1992,13
222.5,1960,45
199.0,1963,42
385.5,1919,86
230.0,1972,33
285.0,1905,100
243.0,1961,44
217.0,1961,44
259.9,1979,26
349.5,2005,0
345.0,2005,0
336.0,2005,0
333.8,2005,0
340.0,2005,0
345.0,2005,0
374.5,1908,97
236.5,1966,39
350.0,1976,29
270.0,1977,28
299.0,1988,17
285.0,1975,30
255.0,1980,25
259.0,1979,26
249.9,1970,35
215.0,1936,69
435.0,1979,26
274.9,1995,10
349.5,1979,26
